Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDC60,OUT049,1458.4550080536917
FDA48,OUT018,3327.9525829268296
FDZ36,OUT027,5329.314724444444
FDK27,OUT045,1827.8328454545453
FDW23,OUT018,507.04640366972507
FDM14,OUT018,1372.6884907407414
FDM14,OUT013,1649.2997859999991
FDW60,OUT018,3259.5620849056604
FDE21,OUT013,1922.1493817142846
NCM42,OUT035,1682.2122382352939
FDY59,OUT010,219.21852093023256
DRI49,OUT049,1202.656733333333
FDT28,OUT019,346.8972837209304
FDQ22,OUT018,507.04640366972507
FDR60,OUT049,1202.656733333333
FDC50,OUT019,219.21852093023256
FDV24,OUT013,2503.501336448598
DRF48,OUT010,482.6995426229507
FDQ47,OUT046,583.8145788617886
DRN36,OUT049,1573.0706258064517
NCY06,OUT035,1987.251048648648
FDE52,OUT035,1435.9121343750003
NCB54,OUT045,1827.8328454545453
NCF31,OUT035,2286.4132673684217
FDJ08,OUT027,5329.314724444444
NCC07,OUT017,1682.2122382352939
NCD19,OUT027,1378.2631852760737
FDL46,OUT049,1987.251048648648
FDM20,OUT045,4340.218358415841
NCI06,OUT010,425.9355914529916
DRM11,OUT035,4433.304032653062
NCH07,OUT018,2232.847021848739
FDS23,OUT013,2142.7435709401707
FDO49,OUT018,713.8586545454551
FDS35,OUT049,1103.1862133333336
DRK39,OUT045,1435.9121343750003
DRI39,OUT049,796.6402682539688
FDV04,OUT017,2503.501336448598
NCN14,OUT035,3384.1080642424226
FDH08,OUT013,3643.519725984252
FDS20,OUT046,3384.1080642424226
FDV40,OUT049,1103.1862133333336
FDZ48,OUT010,281.4820818181817
FDS24,OUT027,2517.8820884848496
FDK44,OUT049,2552.005235185186
FDS48,OUT045,3053.099877777778
FDK26,OUT010,482.6995426229507
FDD23,OUT045,3391.5912527272717
NCH54,OUT017,2644.4778427083343
NCP14,OUT010,219.21852093023256
FDM60,OUT010,92.67548155339806
FDV24,OUT017,2503.501336448598
FDH08,OUT018,3327.9525829268296
FDS12,OUT027,3242.0620715328478
FDR39,OUT027,5329.314724444444
FDP12,OUT027,1378.2631852760737
DRF60,OUT027,6280.890879999996
FDC09,OUT035,1682.2122382352939
FDF50,OUT018,2893.8398258992806
FDG28,OUT035,4340.218358415841
NCE19,OUT017,935.0323883040942
NCM53,OUT010,281.4820818181817
NCN18,OUT049,1879.2570116129032
FDF32,OUT035,3130.004904950494
FDF11,OUT013,3945.4325672131154
DRI59,OUT049,4340.218358415841
NCG54,OUT035,2644.4778427083343
FDM44,OUT046,1573.0706258064517
FDT57,OUT018,3327.9525829268296
FDV24,OUT046,2503.501336448598
FDI50,OUT019,584.7577647727275
FDS09,OUT035,713.8586545454551
NCC31,OUT027,4117.3177126315795
FDQ07,OUT019,584.7577647727275
FDC22,OUT017,3391.5912527272717
FDZ56,OUT046,2644.4778427083343
FDZ40,OUT019,165.91858165137603
FDS46,OUT027,3242.0620715328478
DRD24,OUT045,1827.8328454545453
FDV45,OUT017,2939.348476190474
FDL26,OUT045,3053.099877777778
FDA56,OUT018,1752.2524400000002
FDN27,OUT046,1922.1493817142846
FDM20,OUT049,4340.218358415841
FDO16,OUT017,1435.9121343750003
FDL03,OUT035,3130.004904950494
FDE58,OUT046,1922.1493817142846
FDI02,OUT027,3242.0620715328478
NCC55,OUT019,92.67548155339806
FDR03,OUT018,3327.9525829268296
FDB14,OUT017,1284.7897668711655
FDR45,OUT013,3945.4325672131154
NCN07,OUT017,2243.669596721311
FDM51,OUT019,219.21852093023256
FDT52,OUT027,6280.890879999996
FDL26,OUT046,3053.099877777778
NCZ42,OUT046,3945.4325672131154
DRI47,OUT019,346.8972837209304
FDW40,OUT013,2309.200798000001
FDN34,OUT046,3053.099877777778
FDS01,OUT035,2778.5893175257734
NCG55,OUT045,1827.8328454545453
FDC11,OUT035,1284.7897668711655
FDX35,OUT018,3327.9525829268296
NCB06,OUT046,2644.4778427083343
FDR09,OUT019,584.7577647727275
FDC53,OUT017,1573.0706258064517
FDY45,OUT013,4433.304032653062
FDA22,OUT010,425.9355914529916
FDE02,OUT035,1573.0706258064517
FDW21,OUT045,1461.8437959999997
FDV34,OUT046,1103.1862133333336
FDS59,OUT049,1879.2570116129032
NCW17,OUT017,2243.669596721311
NCK54,OUT046,1922.1493817142846
FDG17,OUT019,584.7577647727275
FDG35,OUT017,3259.5620849056604
FDD08,OUT010,92.67548155339806
NCO07,OUT017,3643.519725984252
FDJ10,OUT010,281.4820818181817
FDW36,OUT017,1573.0706258064517
FDW21,OUT010,219.21852093023256
FDY19,OUT017,1922.1493817142846
DRE03,OUT013,798.217603539823
NCC55,OUT049,677.1027476190475
FDH52,OUT010,165.91858165137603
FDO09,OUT017,4034.300306896551
FDU43,OUT045,4340.218358415841
FDX09,OUT010,425.9355914529916
FDH40,OUT019,219.21852093023256
FDW58,OUT017,1573.0706258064517
FDC47,OUT017,3737.2957751824797
NCR41,OUT035,1461.8437959999997
DRG49,OUT035,3737.2957751824797
FDC52,OUT027,4117.3177126315795
FDY13,OUT046,1103.1862133333336
FDY35,OUT013,507.04640366972507
FDI35,OUT017,3384.1080642424226
NCU18,OUT049,2309.200798000001
FDY33,OUT018,2232.847021848739
FDC15,OUT027,4117.3177126315795
FDU01,OUT049,2752.9709346534655
NCU42,OUT046,2649.1102324324324
NCV29,OUT018,3259.5620849056604
NCY30,OUT017,3384.1080642424226
FDQ46,OUT049,1649.2997859999991
FDG58,OUT027,4117.3177126315795
FDK33,OUT017,3643.519725984252
NCD07,OUT045,1827.8328454545453
NCX29,OUT027,4117.3177126315795
NCT42,OUT013,2649.1102324324324
DRN59,OUT035,798.217603539823
FDI44,OUT035,1284.7897668711655
FDA45,OUT049,2552.005235185186
FDP31,OUT045,1103.1862133333336
FDY01,OUT046,1922.1493817142846
FDT09,OUT018,1752.2524400000002
DRH03,OUT027,2517.8820884848496
FDA36,OUT018,2752.9709346534655
NCF31,OUT017,2286.4132673684217
FDG14,OUT049,2286.4132673684217
FDG28,OUT027,6280.890879999996
FDU14,OUT049,4433.304032653062
FDY47,OUT019,281.4820818181817
FDI56,OUT049,1458.4550080536917
DRD01,OUT013,796.6402682539688
FDM22,OUT046,935.0323883040942
FDH33,OUT013,507.04640366972507
DRZ24,OUT013,1922.1493817142846
NCQ38,OUT046,1682.2122382352939
FDO16,OUT027,2517.8820884848496
FDU07,OUT027,4117.3177126315795
NCB07,OUT013,2893.8398258992806
FDU48,OUT045,1827.8328454545453
NCM43,OUT045,2644.4778427083343
FDR31,OUT010,346.8972837209304
DRK49,OUT018,507.04640366972507
NCI30,OUT010,584.7577647727275
DRD60,OUT017,3384.1080642424226
NCG19,OUT046,3454.0625591549287
FDH12,OUT035,1573.0706258064517
FDM32,OUT035,1284.7897668711655
FDM27,OUT035,3053.099877777778
NCU53,OUT027,4117.3177126315795
NCQ18,OUT046,1879.2570116129032
FDS10,OUT013,2552.005235185186
FDB33,OUT027,4117.3177126315795
FDI12,OUT013,1435.9121343750003
NCW42,OUT013,4340.218358415841
NCC06,OUT018,1752.2524400000002
FDW02,OUT017,1987.251048648648
NCD43,OUT017,1682.2122382352939
FDM57,OUT018,1202.656733333333
FDA58,OUT017,3737.2957751824797
FDK56,OUT046,3384.1080642424226
FDP52,OUT045,4340.218358415841
FDW20,OUT018,1752.2524400000002
FDS52,OUT049,1573.0706258064517
NCT29,OUT018,1752.2524400000002
NCL54,OUT013,2552.005235185186
FDC05,OUT045,3130.004904950494
FDF34,OUT035,2752.9709346534655
FDP03,OUT027,3242.0620715328478
FDD32,OUT010,219.21852093023256
FDZ10,OUT045,1827.8328454545453
FDZ40,OUT035,935.0323883040942
FDD51,OUT018,507.04640366972507
NCY30,OUT019,425.9355914529916
FDP58,OUT017,3737.2957751824797
FDV49,OUT017,4433.304032653062
FDY24,OUT019,165.91858165137603
NCO55,OUT017,1879.2570116129032
FDR13,OUT017,1922.1493817142846
FDS51,OUT017,935.0323883040942
FDP26,OUT045,1461.8437959999997
NCB54,OUT027,3242.0620715328478
FDF32,OUT017,3130.004904950494
FDN31,OUT018,2893.8398258992806
DRM48,OUT017,583.8145788617886
FDN20,OUT049,2453.7477006993017
DRL01,OUT046,3454.0625591549287
FDV56,OUT049,1682.2122382352939
DRH13,OUT027,2517.8820884848496
FDA03,OUT017,2453.7477006993017
FDF47,OUT027,5329.314724444444
FDX32,OUT046,3053.099877777778
FDX57,OUT049,1879.2570116129032
NCA30,OUT045,2939.348476190474
FDO49,OUT013,713.8586545454551
FDL04,OUT019,219.21852093023256
DRM48,OUT035,583.8145788617886
FDR16,OUT013,3454.0625591549287
NCC19,OUT018,2893.8398258992806
NCE42,OUT045,3945.4325672131154
FDY24,OUT017,935.0323883040942
FDH19,OUT049,2778.5893175257734
FDJ46,OUT013,2552.005235185186
FDN45,OUT010,584.7577647727275
FDY08,OUT035,2142.7435709401707
FDZ37,OUT035,1435.9121343750003
NCT30,OUT045,798.217603539823
DRY23,OUT018,507.04640366972507
NCZ30,OUT018,1752.2524400000002
FDC44,OUT018,1752.2524400000002
FDB45,OUT035,1573.0706258064517
FDY04,OUT013,2644.4778427083343
FDM27,OUT046,3053.099877777778
FDZ43,OUT017,4340.218358415841
FDT39,OUT019,346.8972837209304
NCC06,OUT019,281.4820818181817
FDL15,OUT027,4117.3177126315795
FDL57,OUT017,4034.300306896551
FDU08,OUT046,1573.0706258064517
FDK40,OUT017,4433.304032653062
FDQ12,OUT010,584.7577647727275
FDS48,OUT017,3053.099877777778
FDP09,OUT045,3643.519725984252
FDW21,OUT049,1461.8437959999997
FDY25,OUT035,3384.1080642424226
DRE13,OUT017,1458.4550080536917
FDV43,OUT019,92.67548155339806
FDD22,OUT045,1649.2997859999991
FDM46,OUT019,219.21852093023256
NCO30,OUT010,482.6995426229507
FDM25,OUT046,2778.5893175257734
NCN41,OUT049,1987.251048648648
FDU24,OUT045,1435.9121343750003
FDZ50,OUT046,3384.1080642424226
FDP45,OUT013,4034.300306896551
NCM54,OUT045,1827.8328454545453
FDW10,OUT019,425.9355914529916
FDP20,OUT017,1987.251048648648
FDK32,OUT046,3053.099877777778
FDN52,OUT049,1202.656733333333
FDM58,OUT045,1879.2570116129032
FDZ46,OUT027,3242.0620715328478
NCA18,OUT018,1752.2524400000002
FDD35,OUT046,2243.669596721311
NCK31,OUT035,713.8586545454551
FDI40,OUT027,2517.8820884848496
FDT50,OUT019,219.21852093023256
NCT06,OUT046,3053.099877777778
FDT31,OUT035,2752.9709346534655
FDT45,OUT049,796.6402682539688
FDT13,OUT045,2939.348476190474
FDO50,OUT045,1284.7897668711655
NCU18,OUT010,281.4820818181817
NCR54,OUT049,3130.004904950494
NCO18,OUT018,2778.5893175257734
FDU09,OUT045,935.0323883040942
FDT13,OUT018,2893.8398258992806
FDE09,OUT046,1649.2997859999991
NCK53,OUT019,219.21852093023256
FDG45,OUT049,3454.0625591549287
DRH15,OUT035,677.1027476190475
FDO21,OUT019,584.7577647727275
FDD14,OUT027,5329.314724444444
FDC09,OUT046,1682.2122382352939
FDH45,OUT027,1378.2631852760737
FDV32,OUT046,1103.1862133333336
FDG12,OUT035,2243.669596721311
FDS32,OUT013,2309.200798000001
NCL55,OUT018,3327.9525829268296
DRE01,OUT035,3737.2957751824797
DRE15,OUT049,1202.656733333333
NCL42,OUT045,4340.218358415841
FDP31,OUT013,1103.1862133333336
FDN33,OUT018,1202.656733333333
FDZ59,OUT046,2503.501336448598
FDE45,OUT010,425.9355914529916
FDJ07,OUT013,1922.1493817142846
FDQ45,OUT018,2752.9709346534655
FDM33,OUT027,5329.314724444444
FDO15,OUT010,165.91858165137603
FDM46,OUT013,1458.4550080536917
FDR03,OUT045,3945.4325672131154
FDY49,OUT018,2232.847021848739
FDQ60,OUT045,1827.8328454545453
FDW10,OUT049,3259.5620849056604
FDO51,OUT049,677.1027476190475
FDJ40,OUT018,1372.6884907407414
FDS20,OUT018,3384.1080642424226
FDU45,OUT013,1922.1493817142846
FDV02,OUT035,2644.4778427083343
FDN09,OUT046,3945.4325672131154
NCM55,OUT027,5329.314724444444
FDN23,OUT018,2232.847021848739
FDY31,OUT010,346.8972837209304
FDW03,OUT010,219.21852093023256
FDD14,OUT046,3384.1080642424226
FDV23,OUT017,2142.7435709401707
DRI03,OUT045,2552.005235185186
FDN13,OUT035,1573.0706258064517
FDF45,OUT027,1378.2631852760737
FDU46,OUT035,1435.9121343750003
FDB57,OUT049,3643.519725984252
FDV12,OUT049,1879.2570116129032
FDQ58,OUT013,2649.1102324324324
NCA18,OUT017,1922.1493817142846
FDH52,OUT049,796.6402682539688
FDM24,OUT018,2232.847021848739
NCP43,OUT027,5329.314724444444
NCO18,OUT019,425.9355914529916
FDM32,OUT017,1284.7897668711655
NCL07,OUT017,583.8145788617886
FDK03,OUT013,4034.300306896551
FDP59,OUT017,1879.2570116129032
FDQ24,OUT049,4433.304032653062
FDQ16,OUT018,1372.6884907407414
FDU44,OUT013,2644.4778427083343
FDH28,OUT010,92.67548155339806
FDV28,OUT019,92.67548155339806
FDM22,OUT045,935.0323883040942
FDR56,OUT046,3130.004904950494
FDV39,OUT049,2752.9709346534655
FDU37,OUT019,165.91858165137603
FDQ11,OUT010,584.7577647727275
FDX02,OUT045,4340.218358415841
NCS42,OUT018,1202.656733333333
FDY57,OUT027,2517.8820884848496
FDB21,OUT049,3454.0625591549287
FDE28,OUT017,3737.2957751824797
FDQ55,OUT017,1922.1493817142846
FDA48,OUT049,3454.0625591549287
FDZ19,OUT045,2778.5893175257734
NCC43,OUT045,4034.300306896551
NCV18,OUT046,1458.4550080536917
NCA42,OUT018,2232.847021848739
FDY45,OUT046,4433.304032653062
NCC30,OUT045,2778.5893175257734
FDM57,OUT013,1458.4550080536917
FDL09,OUT010,425.9355914529916
FDB09,OUT027,3242.0620715328478
FDT44,OUT035,2142.7435709401707
NCT06,OUT027,4117.3177126315795
FDX26,OUT049,3384.1080642424226
FDK32,OUT013,3053.099877777778
DRA12,OUT046,2309.200798000001
FDO46,OUT010,482.6995426229507
FDE52,OUT013,1435.9121343750003
NCH42,OUT045,3643.519725984252
FDV08,OUT035,677.1027476190475
FDB47,OUT018,3327.9525829268296
FDC28,OUT010,281.4820818181817
FDD22,OUT046,1922.1493817142846
FDS07,OUT027,3242.0620715328478
DRI13,OUT045,3945.4325672131154
FDG32,OUT018,3327.9525829268296
FDU14,OUT017,4433.304032653062
FDD28,OUT019,165.91858165137603
NCP41,OUT017,1682.2122382352939
FDS08,OUT049,2778.5893175257734
FDX47,OUT045,2286.4132673684217
FDC53,OUT019,219.21852093023256
FDQ19,OUT035,3945.4325672131154
FDL14,OUT045,2286.4132673684217
FDM33,OUT019,584.7577647727275
FDA51,OUT045,1827.8328454545453
FDZ27,OUT018,713.8586545454551
FDT04,OUT046,677.1027476190475
DRC13,OUT049,2243.669596721311
FDR16,OUT027,5329.314724444444
FDQ03,OUT027,6280.890879999996
FDE38,OUT035,2286.4132673684217
DRH23,OUT027,1378.2631852760737
FDT11,OUT019,482.6995426229507
FDD09,OUT035,2552.005235185186
FDR40,OUT045,1435.9121343750003
FDX07,OUT017,3384.1080642424226
FDR07,OUT035,1573.0706258064517
FDA51,OUT017,1922.1493817142846
FDT59,OUT019,584.7577647727275
FDF20,OUT017,3130.004904950494
FDR13,OUT045,1827.8328454545453
FDY26,OUT049,3945.4325672131154
FDW04,OUT017,1987.251048648648
FDK52,OUT017,3737.2957751824797
FDN60,OUT049,2644.4778427083343
FDM09,OUT019,425.9355914529916
FDP46,OUT049,1202.656733333333
FDB50,OUT019,165.91858165137603
NCQ29,OUT049,4034.300306896551
FDP16,OUT027,6280.890879999996
FDX33,OUT018,2232.847021848739
FDP07,OUT010,482.6995426229507
FDN22,OUT046,4034.300306896551
FDF39,OUT049,4034.300306896551
FDS21,OUT017,935.0323883040942
NCM42,OUT013,1682.2122382352939
FDK50,OUT019,425.9355914529916
DRF13,OUT027,4117.3177126315795
FDH35,OUT018,2232.847021848739
FDP60,OUT018,1372.6884907407414
DRJ49,OUT027,3242.0620715328478
NCT42,OUT019,346.8972837209304
FDE38,OUT049,2286.4132673684217
FDI04,OUT049,3130.004904950494
NCH54,OUT045,2644.4778427083343
FDT56,OUT049,796.6402682539688
DRD15,OUT018,3327.9525829268296
FDV58,OUT013,2893.8398258992806
FDP21,OUT049,3391.5912527272717
FDH05,OUT013,3454.0625591549287
FDR10,OUT027,4117.3177126315795
NCP06,OUT045,2453.7477006993017
FDF33,OUT049,1649.2997859999991
DRK37,OUT013,2893.8398258992806
DRH49,OUT045,1284.7897668711655
FDT58,OUT013,2286.4132673684217
FDD41,OUT018,1372.6884907407414
FDP40,OUT018,1372.6884907407414
FDM51,OUT027,2517.8820884848496
FDO45,OUT010,219.21852093023256
FDW33,OUT010,219.21852093023256
FDY24,OUT045,935.0323883040942
FDB10,OUT010,584.7577647727275
FDM40,OUT035,2309.200798000001
NCI06,OUT017,3384.1080642424226
FDW12,OUT019,346.8972837209304
FDX48,OUT027,4117.3177126315795
NCW05,OUT027,2517.8820884848496
FDX27,OUT017,1461.8437959999997
DRM37,OUT045,3130.004904950494
FDA38,OUT045,3643.519725984252
FDR36,OUT046,677.1027476190475
FDZ45,OUT046,3130.004904950494
FDG05,OUT017,2286.4132673684217
FDK28,OUT013,4433.304032653062
FDV47,OUT045,1284.7897668711655
FDN21,OUT045,2453.7477006993017
FDP20,OUT027,3242.0620715328478
FDI35,OUT045,3384.1080642424226
DRY23,OUT013,507.04640366972507
FDA56,OUT017,2243.669596721311
FDB09,OUT013,1987.251048648648
NCO26,OUT027,3242.0620715328478
FDQ49,OUT018,2232.847021848739
FDI52,OUT027,3242.0620715328478
FDZ44,OUT027,3242.0620715328478
FDZ09,OUT018,2232.847021848739
FDY03,OUT049,1922.1493817142846
NCG42,OUT017,1987.251048648648
DRI13,OUT027,5329.314724444444
FDQ32,OUT013,1987.251048648648
FDW16,OUT035,1458.4550080536917
FDU27,OUT046,798.217603539823
FDR28,OUT010,425.9355914529916
FDQ49,OUT010,346.8972837209304
FDS37,OUT046,1922.1493817142846
FDW26,OUT018,3327.9525829268296
FDX12,OUT018,3327.9525829268296
NCP06,OUT013,2453.7477006993017
FDW45,OUT010,346.8972837209304
NCN30,OUT049,1682.2122382352939
FDN24,OUT049,796.6402682539688
NCL41,OUT027,1378.2631852760737
FDR02,OUT019,281.4820818181817
FDD09,OUT010,425.9355914529916
FDS33,OUT010,219.21852093023256
FDU22,OUT045,1827.8328454545453
FDI53,OUT013,2503.501336448598
DRH01,OUT049,2778.5893175257734
FDX32,OUT013,2309.200798000001
NCP30,OUT018,507.04640366972507
FDB60,OUT045,3391.5912527272717
FDB14,OUT049,1202.656733333333
NCP02,OUT035,935.0323883040942
FDJ10,OUT017,2309.200798000001
FDG34,OUT046,1682.2122382352939
NCB18,OUT017,1458.4550080536917
FDM16,OUT049,1103.1862133333336
FDW25,OUT018,1202.656733333333
FDB35,OUT010,219.21852093023256
DRN11,OUT013,2309.200798000001
FDF41,OUT019,584.7577647727275
FDH16,OUT045,1435.9121343750003
NCQ50,OUT018,3327.9525829268296
DRH23,OUT018,796.6402682539688
DRJ37,OUT013,2286.4132673684217
DRJ24,OUT027,5329.314724444444
FDY16,OUT035,3384.1080642424226
FDQ27,OUT045,1879.2570116129032
FDZ33,OUT045,2503.501336448598
FDF29,OUT045,1827.8328454545453
FDA08,OUT049,2286.4132673684217
FDG31,OUT046,1103.1862133333336
FDE34,OUT019,482.6995426229507
NCR30,OUT027,1378.2631852760737
FDV33,OUT035,4034.300306896551
DRZ24,OUT018,1752.2524400000002
NCL54,OUT035,2552.005235185186
FDR12,OUT049,2778.5893175257734
NCC54,OUT046,3454.0625591549287
DRN59,OUT013,798.217603539823
FDX50,OUT019,281.4820818181817
FDV31,OUT027,5329.314724444444
NCA29,OUT027,4117.3177126315795
FDW60,OUT049,3259.5620849056604
FDX08,OUT017,3384.1080642424226
DRD49,OUT013,3454.0625591549287
FDD33,OUT046,3454.0625591549287
FDW35,OUT013,507.04640366972507
FDJ36,OUT017,1879.2570116129032
FDV51,OUT035,2644.4778427083343
FDW36,OUT046,1649.2997859999991
FDH35,OUT046,2453.7477006993017
NCS30,OUT027,3242.0620715328478
FDN49,OUT017,677.1027476190475
FDL08,OUT018,3327.9525829268296
FDI09,OUT013,3454.0625591549287
FDP19,OUT018,1752.2524400000002
FDU21,OUT010,92.67548155339806
NCP41,OUT045,1682.2122382352939
FDY10,OUT013,1922.1493817142846
FDP12,OUT018,507.04640366972507
NCN26,OUT049,1922.1493817142846
FDK44,OUT013,3259.5620849056604
FDC28,OUT049,1461.8437959999997
FDJ41,OUT027,6280.890879999996
NCT29,OUT035,1987.251048648648
NCH42,OUT019,584.7577647727275
FDU60,OUT018,2232.847021848739
FDS02,OUT045,3391.5912527272717
FDC51,OUT046,2243.669596721311
FDU03,OUT013,3384.1080642424226
FDX39,OUT045,4340.218358415841
NCY05,OUT010,92.67548155339806
NCL06,OUT027,6280.890879999996
FDD32,OUT035,1284.7897668711655
NCN41,OUT045,1827.8328454545453
NCX53,OUT049,2309.200798000001
FDU57,OUT019,346.8972837209304
FDQ23,OUT046,1573.0706258064517
FDQ52,OUT045,4433.304032653062
FDC14,OUT045,677.1027476190475
FDY09,OUT035,2778.5893175257734
FDQ28,OUT045,2644.4778427083343
FDV25,OUT046,4340.218358415841
FDJ07,OUT035,1922.1493817142846
DRB25,OUT049,1573.0706258064517
FDK52,OUT019,584.7577647727275
FDY52,OUT027,1378.2631852760737
FDB28,OUT046,3391.5912527272717
FDT36,OUT035,583.8145788617886
FDV25,OUT017,4340.218358415841
NCN07,OUT027,3242.0620715328478
FDC57,OUT017,2939.348476190474
FDQ03,OUT018,3327.9525829268296
FDU23,OUT017,3053.099877777778
NCX41,OUT035,3945.4325672131154
NCD06,OUT035,798.217603539823
FDW08,OUT045,1461.8437959999997
NCU29,OUT017,2649.1102324324324
NCE06,OUT013,2503.501336448598
FDV52,OUT010,281.4820818181817
FDB02,OUT017,3259.5620849056604
NCR18,OUT045,677.1027476190475
FDK16,OUT049,1573.0706258064517
NCQ29,OUT010,584.7577647727275
FDZ01,OUT019,219.21852093023256
FDW27,OUT035,2503.501336448598
FDD17,OUT018,3327.9525829268296
FDW39,OUT013,2552.005235185186
DRH59,OUT045,1103.1862133333336
FDS52,OUT013,1573.0706258064517
FDU40,OUT027,5329.314724444444
NCF54,OUT013,2778.5893175257734
FDH46,OUT045,1682.2122382352939
NCP14,OUT049,1879.2570116129032
FDH50,OUT049,3384.1080642424226
DRF15,OUT010,346.8972837209304
FDV27,OUT027,2517.8820884848496
NCJ06,OUT049,2243.669596721311
FDN02,OUT018,3327.9525829268296
FDQ51,OUT049,798.217603539823
FDQ07,OUT017,3737.2957751824797
FDS45,OUT049,1682.2122382352939
NCJ06,OUT045,1827.8328454545453
FDD36,OUT035,1922.1493817142846
FDY25,OUT045,3384.1080642424226
FDU52,OUT046,2286.4132673684217
DRK47,OUT017,3737.2957751824797
NCL30,OUT017,1987.251048648648
FDN22,OUT035,4034.300306896551
NCF30,OUT027,3242.0620715328478
